Date,Rank,Points,Team
Dec 2019,154,1040,Malaysia
Dec 2018,167,985,Malaysia
Dec 2017,174,99,Malaysia
Dec 2016,161,143,Malaysia
Dec 2015,170,127,Malaysia
Dec 2014,154,137,Malaysia
Dec 2013,154,141,Malaysia
Dec 2012,158,133,Malaysia
Dec 2011,148,154,Malaysia
Dec 2010,144,128,Malaysia
Dec 2009,160,102,Malaysia
Dec 2008,156,120,Malaysia
Dec 2007,159,98,Malaysia
Dec 2006,152,102,Malaysia
Dec 2005,123,358,Malaysia
Dec 2004,120,401,Malaysia
Dec 2003,116,397,Malaysia
Dec 2002,128,330,Malaysia
Dec 2001,111,397,Malaysia
Dec 2000,107,390,Malaysia
Dec 1999,117,307,Malaysia
Dec 1998,113,27,Malaysia
Dec 1997,87,34,Malaysia
Dec 1996,96,27,Malaysia
Dec 1995,106,17,Malaysia
Dec 1994,89,19,Malaysia
Dec 1993,79,20,Malaysia
