"Distance from Start (km)","Height Above Sea Level (m)","Comments"
0,9,""
0.09,9,""
0.18,9,""
0.27,9,""
0.36,9,""
0.45,8,""
0.54,9,""
0.63,9,""
0.72,9,""
0.81,10,""
0.9,11,""
0.99,16,""
1.08,12,""
1.17,10,""
1.26,10,""
1.35,7,""
1.44,2,""
1.53,8,""
1.62,10,""
1.71,7,""
1.8,11,""
1.89,13,""
1.98,11,""
2.07,8,""
2.16,3,""
2.25,5,""
2.34,12,""
2.43,14,"Steepest downhill"
2.52,1,""
2.61,5,""
2.7,4,"Steepest uphill"
2.79,16,""
2.88,17,""
2.97,19,""
3.06,24,""
3.15,19,""
3.24,17,""
3.33,18,""
3.42,24,""
3.51,25,""
3.6,22,""
3.69,25,""
3.78,23,""
3.87,25,""
3.96,29,"Start of longest downhill"
4.05,28,""
4.14,18,""
4.23,14,""
4.32,12,""
4.41,12,""
4.5,12,""
4.59,12,""
4.68,10,""
4.77,11,""
4.86,14,""
4.95,15,""
5.04,10,""
5.13,12,""
5.22,15,""
5.31,14,""
5.4,12,""
5.49,14,""
5.58,14,""
5.67,11,""
5.76,5,""
5.85,10,""
5.94,7,""
6.03,4,""
6.12,9,""
6.21,11,""
6.3,9,""
6.39,9,""
6.48,9,""
6.57,6,""
6.66,12,""
6.75,17,""
6.84,16,""
6.93,11,""
7.02,12,""
7.11,11,""
7.2,11,""
7.29,9,""
7.38,7,""
7.47,7,""
7.56,7,""
7.65,8,""
7.74,9,""
7.83,10,""
7.92,10,""
8.01,8,""
8.1,9,""
8.19,7,""
8.28,6,""
8.37,5,""
8.46,5,""
8.55,5,""
8.64,7,""
8.73,9,""
8.82,9,""
8.91,8,""
9,9,""
9.09,8,""
9.18,9,""
9.27,9,""
9.36,8,""
9.45,8,""
9.54,8,""
9.63,10,""
9.72,10,""
9.81,11,""
9.9,8,""
9.99,8,""
10.08,11,""
10.17,11,""
10.26,15,""
10.35,19,""
10.44,18,""
10.53,14,""
10.62,12,""
10.71,11,""
10.8,10,""
10.89,8,""
10.98,9,""
11.07,5,""
11.16,8,""
11.25,7,""
11.34,7,""
11.43,7,""
11.52,8,""
11.61,7,""
11.7,7,""
11.79,8,""
11.88,8,""
11.97,8,""
12.06,7,""
12.15,7,""
12.24,8,""
12.33,9,""
12.42,8,""
12.51,9,""
12.6,9,""
12.69,8,""
12.78,7,""
12.87,7,""
12.96,7,""
13.05,8,""
13.14,9,""
13.23,9,""
13.32,6,""
13.41,8,""
13.5,9,""
13.59,6,""
13.68,6,""
13.77,6,""
13.86,8,""
13.95,9,""
14.04,9,""
14.13,10,""
14.22,9,""
14.31,8,""
14.4,9,""
14.49,11,""
14.58,10,""
14.67,10,""
14.76,9,""
14.85,9,""
14.94,9,""
15.03,7,""
15.12,5,""
15.21,8,""
15.3,8,""
15.39,8,""
15.48,8,""
15.57,9,""
15.66,8,""
15.75,9,""
15.84,9,""
15.93,9,""
16.02,9,""
16.11,9,""
16.2,8,""
16.29,8,""
16.38,8,""
16.47,9,""
16.56,11,""
16.65,11,""
16.74,10,""
16.83,10,""
16.92,14,""
17.01,21,""
17.1,32,""
17.19,30,""
17.28,31,""
17.37,34,"Highest Point"
17.46,26,""
17.55,18,""
17.64,14,""
17.73,10,""
17.82,10,""
17.91,10,""
18,9,""
18.09,10,""
18.18,11,""
18.27,10,""
18.36,11,""
18.45,12,""
18.54,12,""
18.63,10,""
18.72,8,""
18.81,7,""
18.9,7,""
18.99,9,""
19.08,11,""
19.17,12,""
19.26,13,""
19.35,13,""
19.44,12,""
19.53,10,""
19.62,8,""
19.71,9,""
19.8,10,""
19.89,12,""
19.98,10,""
20.07,8,""
20.16,7,""
20.25,7,""
20.34,8,""
20.43,5,""
20.52,7,""
20.61,6,""
20.7,7,""
20.79,9,""
20.88,9,""
20.97,8,""
21.06,8,""
21.15,9,""
21.24,8,""
21.33,9,""
21.42,10,""
21.51,9,""
21.6,9,""
21.69,9,""
21.78,10,""
21.87,9,""
21.96,9,""
22.05,9,""
22.14,11,""
22.23,12,""
22.32,11,""
22.41,10,""
22.5,10,""
22.59,11,""
22.68,11,""
22.77,12,""
22.86,13,""
22.95,12,""
23.04,11,""
23.13,11,""
23.22,11,""
23.31,12,""
23.4,13,""
23.49,15,""
23.58,15,""
23.67,14,""
23.76,15,""
23.85,15,""
23.94,15,""
24.03,15,""
24.12,15,""
24.21,17,""
24.3,17,""
24.39,14,""
24.48,14,""
24.57,12,""
24.66,12,""
24.75,13,""
24.84,13,""
24.93,15,""
25.02,12,""
25.11,11,""
25.2,11,""
25.29,11,""
25.38,10,""
25.47,10,""
25.56,9,""
25.65,11,""
25.74,12,""
25.83,13,""
25.92,12,""
26.01,11,""
26.1,13,""
26.19,12,""
26.28,12,""
26.37,11,""
26.46,11,""
26.55,13,""
26.64,13,""
26.73,12,""
26.82,12,""
26.91,12,""
27,11,""
27.09,10,""
27.18,11,""
27.27,11,""
27.36,11,""
27.45,9,""
27.54,7,""
27.63,8,""
27.72,8,""
27.81,9,""
27.9,10,""
27.99,10,""
28.08,10,""
28.17,11,""
28.26,11,""
28.35,11,""
28.44,6,""
28.53,6,""
28.62,7,""
28.71,7,""
28.8,7,""
28.89,8,""
28.98,7,""
29.07,5,""
29.16,5,""
29.25,7,""
29.34,7,""
29.43,8,""
29.52,4,""
29.61,4,""
29.7,5,""
29.79,7,""
29.88,8,""
29.97,10,""
30.06,14,""
30.15,11,""
30.24,12,""
30.33,14,""
30.42,13,""
30.51,11,""
30.6,10,""
30.69,10,""
30.78,10,""
30.87,13,""
30.96,16,""
31.05,14,""
31.14,12,""
31.23,11,""
31.32,12,""
31.41,14,""
31.5,20,""
31.59,22,""
31.68,17,""
31.77,14,""
31.86,13,""
31.95,10,""
32.04,9,""
32.13,8,""
32.22,11,""
32.31,8,""
32.4,8,""
32.49,5,""
32.58,8,""
32.67,6,""
32.76,5,""
32.85,10,""
32.94,11,""
33.03,10,""
33.12,12,""
33.21,12,""
33.3,11,""
33.39,11,""
33.48,11,""
33.57,12,""
33.66,14,""
33.75,15,""
33.84,14,""
33.93,11,""
34.02,10,""
34.11,13,""
34.2,12,""
34.29,11,""
34.38,11,""
34.47,14,""
34.56,15,""
34.65,14,""
34.74,18,""
34.83,16,""
34.92,12,""
35.01,10,""
35.1,12,""
35.19,12,""
35.28,19,""
35.37,16,""
35.46,11,""
35.55,10,""
35.64,9,""
35.73,7,""
35.82,10,""
35.91,12,""
36,12,""
36.09,11,""
36.18,9,""
36.27,6,""
36.36,8,""
36.45,8,""
36.54,8,""
36.63,7,""
36.72,7,""
36.81,6,""
36.9,5,""
36.99,4,""
37.08,5,""
37.17,6,""
37.26,8,""
37.35,9,""
37.44,8,""
37.53,7,""
37.62,7,""
37.71,8,""
37.8,10,""
37.89,9,""
37.98,7,""
38.07,7,"Start of longest uphill"
38.16,8,""
38.25,9,""
38.34,9,""
38.43,9,""
38.52,10,""
38.61,12,""
38.7,12,""
38.79,13,""
38.88,13,""
38.97,15,""
39.06,14,""
39.15,13,""
39.24,13,""
39.33,11,""
39.42,10,""
39.51,10,""
39.6,10,""
39.69,6,""
39.78,8,""
39.87,5,""
39.96,4,""
40.05,2,""
40.14,3,""
40.23,2,""
40.32,1,""
40.41,5,""
40.5,5,""
40.59,6,""
40.68,6,""
40.77,3,""
40.86,1,""
40.95,0,"Lowest Point"
41.04,4,""
41.13,4,""
41.22,2,""
41.31,10,""
41.4,11,""
41.49,10,""
41.58,10,""
41.67,14,""
41.76,11,""
41.85,10,""
41.94,9,""
42.03,9,""
42.12,9,""
42.21,8,""
42.3,8,""
42.39,9,""
42.48,9,""
42.57,9,""
