"Distance from Start (km)","Height Above Sea Level (m)","Comments"
0,7,""
0.09,8,""
0.18,10,""
0.27,9,""
0.36,9,""
0.45,9,""
0.54,9,""
0.63,8,""
0.72,7,""
0.81,9,""
0.9,9,""
0.99,9,""
1.08,11,""
1.17,13,""
1.26,15,""
1.35,11,""
1.44,10,""
1.53,10,""
1.62,4,""
1.71,3,""
1.8,10,""
1.89,8,""
1.98,9,""
2.07,12,""
2.16,11,""
2.25,12,""
2.34,4,""
2.43,3,""
2.52,6,""
2.61,13,""
2.7,10,""
2.79,0,"Lowest Point"
2.88,4,""
2.97,12,""
3.06,13,""
3.15,17,""
3.24,21,""
3.33,24,""
3.42,17,""
3.51,19,""
3.6,18,""
3.69,26,""
3.78,23,""
3.87,25,""
3.96,24,""
4.05,23,""
4.14,28,""
4.23,30,"Highest Point"
4.32,23,""
4.41,16,""
4.5,14,""
4.59,12,""
4.68,12,""
4.77,12,""
4.86,11,""
4.95,10,""
5.04,12,""
5.13,16,""
5.22,12,""
5.31,11,""
5.4,13,""
5.49,15,""
5.58,11,""
5.67,13,""
5.76,14,""
5.85,13,""
5.94,9,""
6.03,8,""
6.12,10,""
6.21,7,""
6.3,7,""
6.39,11,""
6.48,10,""
6.57,8,""
6.66,9,""
6.75,8,""
6.84,9,""
6.93,15,""
7.02,21,""
7.11,16,""
7.2,12,""
7.29,10,""
7.38,11,""
7.47,9,""
7.56,8,""
7.65,7,""
7.74,7,""
7.83,8,"Steepest uphill"
7.92,18,""
8.01,28,""
8.1,20,"Steepest downhill"
8.19,9,""
8.28,7,""
8.37,9,""
8.46,5,""
8.55,7,""
8.64,16,""
8.73,16,""
8.82,11,""
8.91,10,""
9,10,""
9.09,9,""
9.18,13,""
9.27,16,""
9.36,14,""
9.45,11,""
9.54,11,""
9.63,12,""
9.72,13,""
9.81,19,""
9.9,22,""
9.99,18,""
10.08,14,""
10.17,13,""
10.26,10,""
10.35,9,""
10.44,8,""
10.53,11,""
10.62,9,""
10.71,9,""
10.8,5,""
10.89,8,""
10.98,6,""
11.07,6,""
11.16,10,""
11.25,11,""
11.34,10,""
11.43,15,""
11.52,13,""
11.61,8,""
11.7,6,""
11.79,7,""
11.88,9,""
11.97,8,""
12.06,11,""
12.15,12,""
12.24,18,""
12.33,17,""
12.42,13,""
12.51,10,""
12.6,11,""
12.69,12,""
12.78,16,""
12.87,20,""
12.96,12,""
13.05,9,""
13.14,10,""
13.23,7,""
13.32,9,""
13.41,8,""
13.5,2,""
13.59,3,""
13.68,3,""
13.77,4,""
13.86,10,""
13.95,12,""
14.04,12,""
14.13,11,""
14.22,9,""
14.31,7,""
14.4,8,""
14.49,8,""
14.58,8,""
14.67,7,""
14.76,6,""
14.85,5,""
14.94,4,""
15.03,4,""
15.12,5,""
15.21,6,""
15.3,8,""
15.39,8,""
15.48,8,""
15.57,7,""
15.66,7,""
15.75,8,""
15.84,10,""
15.93,8,""
16.02,7,""
16.11,7,"Start of longest uphill"
16.2,9,""
16.29,9,""
16.38,9,""
16.47,9,""
16.56,10,""
16.65,12,""
16.74,13,""
16.83,14,""
16.92,14,""
17.01,13,""
17.1,15,""
17.19,13,""
17.28,12,""
17.37,11,""
17.46,10,""
17.55,10,""
17.64,8,""
17.73,6,""
17.82,7,""
17.91,4,""
18,4,""
18.09,3,""
18.18,2,""
18.27,2,""
18.36,2,""
18.45,8,""
18.54,4,""
18.63,7,""
18.72,5,""
18.81,3,""
18.9,0,""
18.99,2,""
19.08,4,""
19.17,3,""
19.26,3,""
19.35,10,""
19.44,10,""
19.53,10,""
19.62,11,""
19.71,13,""
19.8,10,""
19.89,10,""
19.98,8,""
20.07,9,""
20.16,9,""
20.25,8,""
20.34,8,""
20.43,9,""
20.52,8,""
20.61,10,""
