"Distance from Start (km)","Height Above Sea Level (m)","Comments"
0,34,""
0.09,33,""
0.18,31,""
0.27,36,""
0.36,46,""
0.45,44,""
0.54,50,""
0.63,41,""
0.72,38,""
0.81,38,""
0.9,39,""
0.99,46,""
1.08,47,""
1.17,44,""
1.26,40,""
1.35,47,""
1.44,64,""
1.53,78,""
1.62,77,"Steepest downhill"
1.71,44,""
1.8,38,""
1.89,40,""
1.98,46,""
2.07,39,""
2.16,39,""
2.25,33,""
2.34,35,""
2.43,39,""
2.52,37,""
2.61,39,""
2.7,38,""
2.79,39,""
2.88,41,""
2.97,41,""
3.06,40,""
3.15,39,""
3.24,35,""
3.33,33,""
3.42,34,""
3.51,37,""
3.6,38,""
3.69,37,""
3.78,40,""
3.87,39,""
3.96,37,""
4.05,37,""
4.14,45,""
4.23,52,""
4.32,51,""
4.41,47,""
4.5,39,""
4.59,45,""
4.68,48,""
4.77,48,""
4.86,48,""
4.95,44,""
5.04,43,""
5.13,41,""
5.22,36,""
5.31,34,""
5.4,36,""
5.49,33,""
5.58,35,""
5.67,48,""
5.76,43,""
5.85,42,""
5.94,43,""
6.03,42,""
6.12,50,""
6.21,64,"Steepest uphill"
6.3,92,""
6.39,89,""
6.48,88,""
6.57,76,""
6.66,70,""
6.75,66,""
6.84,74,""
6.93,94,""
7.02,80,""
7.11,65,""
7.2,54,""
7.29,77,""
7.38,60,""
7.47,61,""
7.56,64,""
7.65,63,""
7.74,60,""
7.83,59,""
7.92,47,""
8.01,44,""
8.1,45,""
8.19,45,""
8.28,51,""
8.37,61,""
8.46,67,""
8.55,67,""
8.64,62,""
8.73,89,""
8.82,77,""
8.91,66,""
9,70,""
9.09,72,""
9.18,89,""
9.27,85,""
9.36,94,""
9.45,69,""
9.54,48,""
9.63,42,""
9.72,34,""
9.81,42,""
9.9,36,""
9.99,35,""
10.08,46,""
10.17,73,""
10.26,57,""
10.35,47,""
10.44,61,""
10.53,51,""
10.62,55,""
10.71,70,""
10.8,63,""
10.89,51,""
10.98,45,""
11.07,51,""
11.16,55,""
11.25,48,""
11.34,45,""
11.43,47,""
11.52,45,""
11.61,42,""
11.7,41,""
11.79,45,""
11.88,47,""
11.97,47,""
12.06,48,""
12.15,44,""
12.24,46,""
12.33,54,""
12.42,55,""
12.51,48,""
12.6,46,""
12.69,46,""
12.78,46,""
12.87,46,""
12.96,48,""
13.05,47,""
13.14,43,""
13.23,43,""
13.32,42,""
13.41,39,""
13.5,41,""
13.59,40,""
13.68,39,""
13.77,38,""
13.86,39,""
13.95,40,""
14.04,37,""
14.13,36,""
14.22,38,""
14.31,40,""
14.4,40,""
14.49,37,""
14.58,37,""
14.67,36,""
14.76,37,""
14.85,36,""
14.94,39,""
15.03,40,""
15.12,40,""
15.21,38,""
15.3,35,""
15.39,34,""
15.48,36,""
15.57,36,""
15.66,35,""
15.75,30,"Lowest Point"
15.84,32,""
15.93,32,""
16.02,32,""
16.11,33,""
16.2,36,""
16.29,43,""
16.38,50,""
16.47,52,""
16.56,38,""
16.65,36,""
16.74,43,""
16.83,45,""
16.92,41,""
17.01,40,""
17.1,34,""
17.19,30,""
17.28,33,""
17.37,35,""
17.46,34,""
17.55,32,""
17.64,30,""
17.73,35,""
17.82,38,""
17.91,38,""
18,41,""
18.09,39,""
18.18,34,""
18.27,38,""
18.36,40,""
18.45,38,""
18.54,37,""
18.63,34,""
18.72,32,""
18.81,32,""
18.9,32,""
18.99,31,""
19.08,32,""
19.17,36,""
19.26,39,""
19.35,37,""
19.44,35,""
19.53,37,""
19.62,37,""
19.71,40,""
19.8,39,""
19.89,38,""
19.98,36,""
20.07,36,""
20.16,35,""
20.25,36,""
20.34,37,""
20.43,40,""
20.52,40,""
20.61,37,""
20.7,36,""
20.79,36,""
20.88,41,""
20.97,39,""
21.06,38,""
21.15,39,""
21.24,41,""
21.33,43,""
21.42,42,""
21.51,40,""
21.6,41,""
21.69,43,""
21.78,42,""
21.87,41,""
21.96,44,""
22.05,41,""
22.14,43,""
22.23,42,""
22.32,43,""
22.41,45,""
22.5,44,""
22.59,45,""
22.68,44,""
22.77,45,""
22.86,49,""
22.95,48,""
23.04,46,""
23.13,47,""
23.22,47,""
23.31,51,""
23.4,53,""
23.49,55,""
23.58,53,""
23.67,49,""
23.76,49,""
23.85,51,""
23.94,54,""
24.03,53,""
24.12,54,""
24.21,53,""
24.3,53,""
24.39,53,""
24.48,52,""
24.57,53,""
24.66,49,""
24.75,49,""
24.84,52,""
24.93,51,""
25.02,50,""
25.11,51,""
25.2,54,""
25.29,56,""
25.38,60,""
25.47,67,""
25.56,82,""
25.65,83,""
25.74,87,""
25.83,85,""
25.92,88,""
26.01,96,""
26.1,105,""
26.19,109,"Highest Point"
26.28,105,""
26.37,94,""
26.46,87,""
26.55,84,""
26.64,83,""
26.73,83,""
26.82,79,""
26.91,77,""
27,80,""
27.09,77,""
27.18,73,""
27.27,71,""
27.36,71,""
27.45,70,""
27.54,74,""
27.63,75,""
27.72,75,""
27.81,73,""
27.9,66,""
27.99,67,""
28.08,66,""
