"Distance from Start (km)","Height Above Sea Level (m)","Comments"
0,34,""
0.09,34,""
0.18,30,"Lowest Point"
0.27,34,""
0.36,45,""
0.45,44,""
0.54,49,""
0.63,42,""
0.72,38,""
0.81,38,""
0.9,39,""
0.99,45,""
1.08,48,""
1.17,45,""
1.26,41,""
1.35,45,""
1.44,62,""
1.53,76,""
1.62,83,"Steepest downhill"
1.71,47,""
1.8,38,""
1.89,39,""
1.98,46,""
2.07,39,""
2.16,40,""
2.25,34,""
2.34,35,""
2.43,39,""
2.52,37,""
2.61,40,""
2.7,38,""
2.79,39,""
2.88,40,""
2.97,41,""
3.06,39,""
3.15,39,""
3.24,36,""
3.33,33,""
3.42,34,""
3.51,37,""
3.6,38,""
3.69,36,""
3.78,39,""
3.87,40,""
3.96,37,""
4.05,37,""
4.14,44,""
4.23,52,""
4.32,51,""
4.41,48,""
4.5,38,""
4.59,44,""
4.68,45,""
4.77,52,"Start of longest downhill"
4.86,49,""
4.95,44,""
5.04,43,""
5.13,41,""
5.22,37,""
5.31,34,""
5.4,36,""
5.49,33,""
5.58,35,""
5.67,47,""
5.76,43,""
5.85,40,""
5.94,44,""
6.03,42,""
6.12,50,""
6.21,61,"Steepest uphill"
6.3,91,""
6.39,93,""
6.48,88,""
6.57,78,""
6.66,70,""
6.75,67,""
6.84,72,""
6.93,90,""
7.02,84,""
7.11,67,""
7.2,53,""
7.29,76,""
7.38,63,""
7.47,61,""
7.56,63,""
7.65,63,""
7.74,64,""
7.83,60,""
7.92,50,""
8.01,43,""
8.1,45,""
8.19,45,""
8.28,49,""
8.37,60,""
8.46,67,""
8.55,68,""
8.64,67,""
8.73,88,""
8.82,81,""
8.91,67,""
9,70,""
9.09,70,""
9.18,84,""
9.27,83,""
9.36,96,"Highest Point"
9.45,79,""
9.54,52,""
9.63,45,""
9.72,37,""
9.81,37,""
9.9,43,""
9.99,34,""
10.08,39,""
10.17,64,""
10.26,69,""
10.35,55,""
10.44,52,""
10.53,58,""
10.62,51,""
10.71,60,""
10.8,74,""
10.89,56,""
10.98,46,""
11.07,48,""
11.16,53,""
11.25,53,""
11.34,47,""
11.43,46,""
11.52,46,""
11.61,43,""
11.7,41,""
11.79,43,""
11.88,46,""
11.97,47,""
12.06,47,""
12.15,47,""
12.24,43,""
12.33,49,""
12.42,58,""
12.51,51,""
12.6,46,""
12.69,46,""
12.78,46,""
12.87,45,""
12.96,47,""
13.05,48,""
13.14,45,""
13.23,43,""
13.32,43,""
13.41,41,""
13.5,38,""
13.59,43,""
13.68,40,""
13.77,38,""
13.86,38,""
13.95,41,""
14.04,38,""
14.13,36,""
14.22,37,""
14.31,39,""
14.4,40,""
14.49,38,""
14.58,38,""
14.67,37,""
14.76,37,""
14.85,37,""
14.94,37,""
15.03,40,""
15.12,40,""
15.21,40,""
15.3,37,""
15.39,35,""
15.48,35,""
15.57,36,""
15.66,36,""
15.75,33,""
15.84,30,"Start of longest uphill"
15.93,32,""
16.02,32,""
16.11,32,""
16.2,34,""
16.29,39,""
16.38,44,""
16.47,55,""
16.56,45,""
16.65,35,""
16.74,39,""
16.83,45,""
16.92,43,""
17.01,41,""
17.1,38,""
17.19,32,""
17.28,30,""
17.37,34,""
17.46,33,""
17.55,31,""
17.64,34,""
17.73,46,""
17.82,53,""
17.91,50,""
18,43,""
18.09,41,""
18.18,43,""
18.27,39,""
18.36,63,""
18.45,55,""
18.54,49,""
18.63,42,""
18.72,39,""
18.81,40,""
18.9,44,""
18.99,40,""
19.08,32,""
19.17,39,""
19.26,46,""
19.35,41,""
19.44,35,""
19.53,38,""
19.62,42,""
19.71,47,""
19.8,44,""
19.89,36,""
19.98,35,""
20.07,35,""
20.16,34,""
20.25,33,""
20.34,37,""
20.43,39,""
20.52,42,""
20.61,44,""
20.7,43,""
20.79,46,""
20.88,47,""
20.97,45,""
21.06,41,""
21.15,41,""
21.24,37,""
21.33,35,""
