"Distance from Start (km)","Height Above Sea Level (m)","Comments"
0,11,""
0.09,11,""
0.18,13,""
0.27,13,""
0.36,14,""
0.45,13,""
0.54,10,""
0.63,8,""
0.72,6,""
0.81,10,""
0.9,9,""
0.99,8,""
1.08,8,""
1.17,9,""
1.26,8,""
1.35,7,""
1.44,8,""
1.53,7,""
1.62,6,""
1.71,8,""
1.8,9,""
1.89,8,""
1.98,7,""
2.07,7,""
2.16,7,""
2.25,7,""
2.34,6,""
2.43,5,""
2.52,7,""
2.61,10,""
2.7,11,""
2.79,10,""
2.88,9,""
2.97,8,""
3.06,6,""
3.15,6,""
3.24,7,""
3.33,6,""
3.42,6,""
3.51,6,""
3.6,5,""
3.69,5,""
3.78,6,""
3.87,7,""
3.96,8,""
4.05,7,""
4.14,7,""
4.23,8,""
4.32,7,""
4.41,7,""
4.5,9,""
4.59,9,""
4.68,6,""
4.77,1,""
4.86,1,""
4.95,5,""
5.04,6,""
5.13,5,""
5.22,8,""
5.31,7,""
5.4,5,""
5.49,5,""
5.58,4,""
5.67,3,""
5.76,5,""
5.85,4,""
5.94,4,""
6.03,5,""
6.12,7,""
6.21,7,""
6.3,7,""
6.39,6,""
6.48,5,""
6.57,5,""
6.66,6,""
6.75,6,""
6.84,5,""
6.93,7,""
7.02,7,""
7.11,8,""
7.2,8,""
7.29,9,""
7.38,9,""
7.47,9,""
7.56,8,""
7.65,8,""
7.74,7,""
7.83,5,""
7.92,6,""
8.01,4,""
8.1,3,""
8.19,5,""
8.28,5,""
8.37,4,""
8.46,6,""
8.55,5,""
8.64,4,""
8.73,5,""
8.82,6,""
8.91,7,""
9,8,""
9.09,6,""
9.18,6,""
9.27,6,""
9.36,8,""
9.45,9,""
9.54,7,""
9.63,7,""
9.72,9,""
9.81,7,""
9.9,6,""
9.99,7,""
10.08,7,""
10.17,10,""
10.26,14,""
10.35,17,""
10.44,17,""
10.53,16,""
10.62,15,""
10.71,19,""
10.8,23,""
10.89,23,""
10.98,25,""
11.07,27,"Highest Point"
11.16,26,""
11.25,24,""
11.34,19,""
11.43,17,""
11.52,18,""
11.61,19,""
11.7,16,""
11.79,13,""
11.88,12,""
11.97,12,""
12.06,13,""
12.15,14,""
12.24,13,""
12.33,12,""
12.42,15,""
12.51,15,""
12.6,12,""
12.69,12,""
12.78,10,""
12.87,8,""
12.96,8,""
13.05,8,""
13.14,8,""
13.23,8,""
13.32,11,""
13.41,11,""
13.5,10,""
13.59,8,""
13.68,7,""
13.77,8,""
13.86,7,""
13.95,6,""
14.04,6,""
14.13,6,""
14.22,7,""
14.31,10,""
14.4,10,""
14.49,9,""
14.58,8,""
14.67,8,""
14.76,9,""
14.85,8,""
14.94,8,""
15.03,8,""
15.12,6,""
15.21,6,""
15.3,6,""
15.39,5,""
15.48,6,""
15.57,6,""
15.66,6,""
15.75,5,""
15.84,5,""
15.93,6,""
16.02,7,""
16.11,6,""
16.2,5,""
16.29,4,""
16.38,5,""
16.47,5,""
16.56,5,""
16.65,4,""
16.74,6,""
16.83,8,""
16.92,7,""
17.01,8,""
17.1,7,""
17.19,7,""
17.28,8,""
17.37,9,""
17.46,11,""
17.55,7,""
17.64,6,""
17.73,8,""
17.82,9,""
17.91,12,""
18,13,""
18.09,10,""
18.18,8,""
18.27,9,""
18.36,11,""
18.45,12,""
18.54,13,""
18.63,14,""
18.72,9,""
18.81,7,""
18.9,6,""
18.99,8,""
19.08,10,""
19.17,8,""
19.26,7,""
19.35,6,""
19.44,7,""
19.53,6,""
19.62,7,""
19.71,7,""
19.8,7,""
19.89,9,""
19.98,11,""
20.07,11,""
20.16,10,""
20.25,10,""
20.34,9,""
20.43,8,""
20.52,10,""
20.61,12,""
20.7,11,""
20.79,11,""
20.88,11,""
20.97,9,""
21.06,7,""
21.15,7,""
21.24,7,""
21.33,6,""
21.42,7,""
21.51,7,""
21.6,7,""
21.69,8,""
21.78,10,""
21.87,8,""
21.96,7,""
22.05,7,""
22.14,10,""
22.23,15,""
22.32,13,""
22.41,12,""
22.5,11,""
22.59,9,""
22.68,7,""
22.77,11,""
22.86,13,""
22.95,11,""
23.04,9,""
23.13,7,""
23.22,6,""
23.31,7,""
23.4,10,""
23.49,8,""
23.58,7,""
23.67,8,""
23.76,7,""
23.85,7,""
23.94,6,""
24.03,8,""
24.12,5,""
24.21,4,""
24.3,5,""
24.39,5,""
24.48,5,""
24.57,4,""
24.66,5,""
24.75,6,""
24.84,7,""
24.93,6,""
25.02,5,""
25.11,5,""
25.2,5,""
25.29,6,""
25.38,5,"Start of longest uphill"
25.47,6,""
25.56,6,""
25.65,6,""
25.74,7,""
25.83,8,""
25.92,9,""
26.01,10,""
26.1,12,""
26.19,10,""
26.28,8,""
26.37,8,""
26.46,9,""
26.55,11,""
26.64,8,""
26.73,5,""
26.82,8,""
26.91,8,""
27,8,""
27.09,10,""
27.18,11,""
27.27,10,""
27.36,8,""
27.45,7,""
27.54,8,""
27.63,8,""
27.72,7,""
27.81,9,""
27.9,11,""
27.99,12,""
28.08,13,""
28.17,15,""
28.26,13,""
28.35,11,""
28.44,13,""
28.53,13,""
28.62,11,""
28.71,10,""
28.8,11,""
28.89,14,""
28.98,20,""
29.07,22,""
29.16,20,""
29.25,21,""
29.34,20,""
29.43,20,""
29.52,23,""
29.61,22,""
29.7,23,""
29.79,25,""
29.88,26,""
29.97,23,""
30.06,19,""
30.15,18,""
30.24,19,""
30.33,17,""
30.42,19,""
30.51,20,""
30.6,20,""
30.69,21,""
30.78,16,""
30.87,15,""
30.96,14,""
31.05,12,""
31.14,10,""
31.23,11,""
31.32,14,""
31.41,17,"Start of longest downhill"
31.5,16,""
31.59,12,""
31.68,10,""
31.77,8,""
31.86,6,""
31.95,6,""
32.04,5,""
32.13,5,""
32.22,5,""
32.31,6,""
32.4,6,""
32.49,7,""
32.58,6,""
32.67,8,""
32.76,10,""
32.85,9,""
32.94,16,""
33.03,18,""
33.12,18,""
33.21,18,""
33.3,18,""
33.39,17,""
33.48,16,""
33.57,13,""
33.66,11,""
33.75,10,""
33.84,11,""
33.93,12,""
34.02,14,""
34.11,10,""
34.2,10,""
34.29,9,""
34.38,9,""
34.47,10,""
34.56,12,""
34.65,10,""
34.74,9,""
34.83,9,""
34.92,8,""
35.01,6,""
35.1,4,""
35.19,4,""
35.28,5,""
35.37,5,""
35.46,5,""
35.55,3,""
35.64,3,""
35.73,3,""
35.82,3,""
35.91,4,""
36,5,""
36.09,5,""
36.18,3,""
36.27,0,"Lowest Point"
36.36,1,""
36.45,3,""
36.54,5,""
36.63,5,""
36.72,5,""
36.81,8,""
36.9,12,""
36.99,14,""
37.08,11,""
37.17,11,""
37.26,8,""
37.35,8,""
37.44,9,""
37.53,11,""
37.62,13,""
37.71,17,""
37.8,19,""
37.89,20,""
37.98,20,""
38.07,18,""
38.16,15,""
38.25,10,""
38.34,9,""
38.43,13,""
38.52,14,""
38.61,13,""
38.7,15,""
38.79,14,""
38.88,10,""
38.97,10,""
39.06,9,""
39.15,8,""
39.24,9,""
39.33,8,""
