"Distance from Start (km)","Height Above Sea Level (m)","Comments"
0,10,""
0.09,13,""
0.18,13,""
0.27,14,""
0.36,13,""
0.45,11,""
0.54,9,""
0.63,7,""
0.72,8,""
0.81,10,""
0.9,8,""
0.99,8,""
1.08,10,""
1.17,8,""
1.26,8,""
1.35,7,""
1.44,7,""
1.53,7,""
1.62,8,""
1.71,8,""
1.8,7,""
1.89,7,""
1.98,8,""
2.07,7,""
2.16,7,""
2.25,6,""
2.34,6,""
2.43,9,""
2.52,11,""
2.61,10,""
2.7,10,""
2.79,9,""
2.88,7,""
2.97,6,""
3.06,7,""
3.15,8,""
3.24,7,""
3.33,6,""
3.42,5,""
3.51,5,""
3.6,5,""
3.69,7,""
3.78,8,""
3.87,7,""
3.96,6,""
4.05,8,""
4.14,7,""
4.23,7,""
4.32,8,""
4.41,9,""
4.5,8,""
4.59,2,""
4.68,0,"Lowest Point"
4.77,4,""
4.86,6,""
4.95,5,""
5.04,7,""
5.13,8,""
5.22,6,""
5.31,5,""
5.4,5,""
5.49,3,""
5.58,4,""
5.67,4,""
5.76,4,""
5.85,5,""
5.94,6,""
6.03,7,""
6.12,7,""
6.21,7,""
6.3,6,""
6.39,5,""
6.48,6,""
6.57,6,""
6.66,5,""
6.75,7,""
6.84,7,""
6.93,8,""
7.02,8,""
7.11,8,""
7.2,9,""
7.29,9,""
7.38,9,""
7.47,8,""
7.56,7,""
7.65,6,""
7.74,6,""
7.83,5,""
7.92,3,""
8.01,4,""
8.1,5,""
8.19,4,""
8.28,5,""
8.37,6,""
8.46,4,""
8.55,4,""
8.64,6,""
8.73,7,""
8.82,8,""
8.91,5,""
9,5,""
9.09,6,""
9.18,7,""
9.27,8,""
9.36,8,""
9.45,7,""
9.54,8,""
9.63,7,""
9.72,6,""
9.81,6,""
9.9,7,""
9.99,7,""
10.08,11,""
10.17,16,""
10.26,17,""
10.35,16,""
10.44,15,""
10.53,16,""
10.62,21,""
10.71,23,""
10.8,24,""
10.89,25,""
10.98,23,""
11.07,24,""
11.16,25,""
11.25,25,""
11.34,25,""
11.43,24,""
11.52,19,""
11.61,20,""
11.7,22,""
11.79,19,""
11.88,14,""
11.97,11,""
12.06,10,""
12.15,11,""
12.24,12,""
12.33,14,""
12.42,11,""
12.51,11,""
12.6,9,""
12.69,9,""
12.78,10,""
12.87,11,""
12.96,10,""
13.05,9,""
13.14,9,""
13.23,9,""
13.32,6,""
13.41,4,""
13.5,4,""
13.59,4,""
13.68,5,""
13.77,5,""
13.86,4,""
13.95,3,""
14.04,3,""
14.13,3,""
14.22,3,""
14.31,5,""
14.4,5,""
14.49,3,""
14.58,1,""
14.67,1,""
14.76,3,""
14.85,5,""
14.94,5,""
15.03,4,""
15.12,7,""
15.21,11,""
15.3,15,""
15.39,12,""
15.48,11,""
15.57,8,""
15.66,8,""
15.75,9,""
15.84,11,""
15.93,12,""
16.02,16,""
16.11,19,""
16.2,21,""
16.29,21,""
16.38,18,""
16.47,15,""
16.56,10,""
16.65,9,""
16.74,12,""
16.83,14,""
16.92,13,""
17.01,14,""
17.1,16,"Start of longest downhill"
17.19,10,""
17.28,10,""
17.37,9,""
17.46,9,""
17.55,9,""
17.64,8,""
17.73,8,""
17.82,5,""
17.91,4,""
18,6,""
18.09,7,""
18.18,8,""
18.27,10,""
18.36,12,""
18.45,13,""
18.54,7,""
18.63,5,""
18.72,5,""
18.81,7,""
18.9,8,""
18.99,8,""
19.08,6,""
19.17,8,""
19.26,9,""
19.35,9,""
19.44,8,""
19.53,7,""
19.62,6,"Start of longest uphill"
19.71,9,""
19.8,9,""
19.89,9,""
19.98,10,""
20.07,11,""
20.16,15,"Steepest uphill"
20.25,21,""
20.34,24,""
20.43,27,"Highest Point"
20.52,25,""
20.61,18,""
20.7,14,""
20.79,20,""
20.88,19,"Steepest downhill"
20.97,11,""
21.06,5,""
21.15,10,""
21.24,8,""
21.33,8,""
21.42,11,""
21.51,11,""
21.6,12,""
