"Distance from Start (km)","Height Above Sea Level (m)","Comments"
0,8,""
0.09,10,""
0.18,9,""
0.27,8,""
0.36,8,""
0.45,7,""
0.54,6,""
0.63,7,""
0.72,8,""
0.81,6,""
0.9,8,""
0.99,9,""
1.08,10,""
1.17,9,""
1.26,8,""
1.35,6,""
1.44,4,""
1.53,3,"Lowest Point"
1.62,4,""
1.71,4,""
1.8,5,""
1.89,5,""
1.98,5,""
2.07,5,""
2.16,5,""
2.25,5,""
2.34,5,""
2.43,7,""
2.52,7,""
2.61,8,""
2.7,12,""
2.79,14,""
2.88,14,""
2.97,13,""
3.06,13,""
3.15,11,""
3.24,11,""
3.33,11,""
3.42,12,""
3.51,13,""
3.6,16,""
3.69,21,""
3.78,25,""
3.87,26,""
3.96,25,""
4.05,25,""
4.14,27,""
4.23,28,""
4.32,29,""
4.41,27,""
4.5,25,""
4.59,24,""
4.68,21,""
4.77,19,""
4.86,18,""
4.95,19,""
5.04,18,""
5.13,17,""
5.22,16,""
5.31,16,""
5.4,16,""
5.49,14,""
5.58,16,""
5.67,16,""
5.76,15,""
5.85,15,""
5.94,15,""
6.03,13,""
6.12,13,""
6.21,12,""
6.3,12,""
6.39,13,""
6.48,13,""
6.57,13,""
6.66,13,""
6.75,14,""
6.84,15,""
6.93,15,""
7.02,15,""
7.11,15,""
7.2,16,""
7.29,18,""
7.38,21,""
7.47,21,""
7.56,20,""
7.65,20,""
7.74,21,""
7.83,19,""
7.92,21,""
8.01,22,""
8.1,24,""
8.19,25,""
8.28,26,""
8.37,26,""
8.46,27,""
8.55,27,""
8.64,27,""
8.73,27,""
8.82,27,""
8.91,28,""
9,28,""
9.09,29,""
9.18,29,""
9.27,28,""
9.36,26,""
9.45,28,""
9.54,26,""
9.63,27,""
9.72,31,""
9.81,33,""
9.9,35,""
9.99,31,""
10.08,32,""
10.17,33,""
10.26,32,""
10.35,32,""
10.44,39,""
10.53,41,""
10.62,39,""
10.71,37,""
10.8,32,""
10.89,34,""
10.98,40,""
11.07,41,""
11.16,41,""
11.25,42,""
11.34,46,"Highest Point"
11.43,42,""
11.52,33,""
11.61,26,""
11.7,24,""
11.79,24,"Steepest uphill"
11.88,33,""
11.97,41,""
12.06,44,""
12.15,37,"Steepest downhill"
12.24,27,""
12.33,24,""
12.42,22,""
12.51,23,""
12.6,25,""
12.69,28,""
12.78,28,""
12.87,25,""
12.96,22,""
13.05,22,""
13.14,20,""
13.23,18,""
13.32,18,""
13.41,20,""
13.5,25,""
13.59,24,""
13.68,20,""
13.77,17,""
13.86,17,""
13.95,17,""
14.04,17,""
14.13,19,""
14.22,24,""
14.31,27,""
14.4,28,""
14.49,31,""
14.58,36,""
14.67,29,""
14.76,24,""
14.85,22,""
14.94,19,""
15.03,14,""
15.12,11,""
15.21,11,""
15.3,12,""
15.39,12,""
15.48,11,""
15.57,11,""
15.66,11,""
15.75,15,""
15.84,17,""
15.93,19,""
16.02,18,""
16.11,18,""
16.2,19,""
16.29,23,""
16.38,25,""
16.47,26,""
16.56,28,""
16.65,29,""
16.74,27,""
16.83,25,""
16.92,25,""
17.01,26,""
17.1,25,""
17.19,23,""
17.28,17,""
17.37,14,""
17.46,12,""
17.55,11,""
17.64,12,""
17.73,11,""
17.82,13,""
17.91,13,""
18,14,""
18.09,15,"Start of longest downhill"
18.18,13,""
18.27,9,""
18.36,7,""
18.45,7,""
18.54,6,""
18.63,5,""
18.72,5,""
18.81,5,""
18.9,5,""
18.99,5,""
19.08,5,""
19.17,4,""
19.26,4,""
19.35,3,""
19.44,3,""
19.53,5,""
19.62,7,""
19.71,9,""
19.8,10,""
19.89,9,""
19.98,8,""
20.07,7,""
20.16,8,""
20.25,8,""
20.34,6,""
20.43,7,""
20.52,7,""
20.61,9,""
20.7,10,""
20.79,16,""
20.88,15,""
