"Distance from Start (km)","Height Above Sea Level (m)","Comments"
0,23,""
0.09,26,""
0.18,26,""
0.27,26,""
0.36,26,""
0.45,26,""
0.54,25,""
0.63,23,""
0.72,19,""
0.81,19,""
0.9,19,""
0.99,18,""
1.08,18,""
1.17,19,""
1.26,24,""
1.35,28,""
1.44,29,""
1.53,32,""
1.62,32,""
1.71,32,""
1.8,33,""
1.89,31,""
1.98,29,""
2.07,28,""
2.16,26,""
2.25,26,""
2.34,26,""
2.43,26,""
2.52,26,""
2.61,26,""
2.7,27,""
2.79,28,""
2.88,29,""
2.97,31,""
3.06,35,""
3.15,37,""
3.24,40,""
3.33,44,""
3.42,46,""
3.51,46,""
3.6,47,""
3.69,48,""
3.78,47,""
3.87,41,"Steepest downhill"
3.96,32,""
4.05,27,""
4.14,23,""
4.23,20,""
4.32,18,""
4.41,16,""
4.5,13,""
4.59,13,""
4.68,16,""
4.77,17,""
4.86,20,""
4.95,20,""
5.04,18,""
5.13,17,""
5.22,14,""
5.31,11,""
5.4,10,""
5.49,13,""
5.58,11,""
5.67,10,""
5.76,14,""
5.85,17,""
5.94,21,""
6.03,27,""
6.12,25,""
6.21,23,""
6.3,16,""
6.39,14,""
6.48,15,""
6.57,18,""
6.66,22,""
6.75,22,""
6.84,22,""
6.93,19,""
7.02,18,""
7.11,21,""
7.2,22,""
7.29,19,""
7.38,13,""
7.47,10,""
7.56,11,""
7.65,11,""
7.74,9,""
7.83,9,""
7.92,6,""
8.01,7,""
8.1,8,""
8.19,6,""
8.28,7,""
8.37,6,""
8.46,10,""
8.55,12,""
8.64,15,""
8.73,14,""
8.82,12,""
8.91,11,""
9,9,""
9.09,7,""
9.18,6,""
9.27,6,""
9.36,7,""
9.45,7,""
9.54,8,""
9.63,8,""
9.72,9,""
9.81,8,""
9.9,7,""
9.99,7,""
10.08,8,""
10.17,7,""
10.26,7,""
10.35,7,""
10.44,7,""
10.53,7,""
10.62,8,""
10.71,8,""
10.8,10,""
10.89,14,""
10.98,15,""
11.07,14,""
11.16,9,""
11.25,9,""
11.34,9,""
11.43,10,""
11.52,9,""
11.61,9,""
11.7,10,""
11.79,11,""
11.88,12,""
11.97,12,""
12.06,15,""
12.15,13,""
12.24,11,""
12.33,8,""
12.42,6,""
12.51,6,""
12.6,6,""
12.69,7,""
12.78,7,""
12.87,10,""
12.96,13,""
13.05,13,""
13.14,14,""
13.23,15,""
13.32,10,""
13.41,6,""
13.5,7,""
13.59,9,""
13.68,9,""
13.77,5,""
13.86,4,""
13.95,2,""
14.04,4,""
14.13,3,""
14.22,6,""
14.31,6,""
14.4,6,""
14.49,5,""
14.58,6,""
14.67,6,""
14.76,7,""
14.85,4,""
14.94,5,""
15.03,3,""
15.12,1,""
15.21,0,"Lowest Point"
15.3,0,""
15.39,0,""
15.48,0,""
15.57,0,""
15.66,0,""
15.75,0,""
15.84,0,""
15.93,0,""
16.02,0,""
16.11,0,""
16.2,0,""
16.29,0,""
16.38,0,""
16.47,0,""
16.56,0,""
16.65,0,""
16.74,0,""
16.83,0,""
16.92,0,""
17.01,0,""
17.1,0,""
17.19,0,""
17.28,0,""
17.37,0,""
17.46,0,""
17.55,0,""
17.64,0,""
17.73,0,""
17.82,0,""
17.91,0,""
18,0,""
18.09,0,""
18.18,0,""
18.27,0,""
18.36,0,""
18.45,0,""
18.54,0,""
18.63,0,""
18.72,0,""
18.81,0,""
18.9,0,""
18.99,0,""
19.08,0,""
19.17,0,""
19.26,0,""
19.35,0,""
19.44,0,""
19.53,0,""
19.62,0,""
19.71,0,""
19.8,0,""
19.89,0,""
19.98,0,""
20.07,0,""
20.16,0,""
20.25,0,""
20.34,0,""
20.43,0,""
20.52,0,""
20.61,0,""
20.7,0,""
20.79,0,""
20.88,2,""
20.97,4,""
21.06,3,""
21.15,9,"Start of longest downhill"
21.24,3,""
21.33,3,""
21.42,2,""
21.51,0,""
21.6,0,""
21.69,0,""
21.78,0,""
21.87,0,""
21.96,0,""
22.05,0,""
22.14,0,""
22.23,0,""
22.32,0,""
22.41,0,""
22.5,0,""
22.59,0,""
22.68,0,""
22.77,0,""
22.86,0,""
22.95,0,""
23.04,0,""
23.13,0,""
23.22,0,""
23.31,0,""
23.4,0,""
23.49,0,""
23.58,0,""
23.67,0,""
23.76,0,""
23.85,0,""
23.94,0,""
24.03,0,""
24.12,0,""
24.21,0,""
24.3,0,""
24.39,0,""
24.48,0,""
24.57,0,""
24.66,0,""
24.75,0,""
24.84,0,""
24.93,0,""
25.02,0,""
25.11,0,""
25.2,0,""
25.29,0,""
25.38,0,""
25.47,0,""
25.56,0,""
25.65,0,""
25.74,0,""
25.83,0,""
25.92,0,""
26.01,0,""
26.1,0,""
26.19,0,""
26.28,0,""
26.37,0,""
26.46,0,""
26.55,0,""
26.64,0,""
26.73,0,""
26.82,0,""
26.91,0,""
27,0,""
27.09,0,""
27.18,0,""
27.27,4,""
27.36,4,""
27.45,5,""
27.54,4,""
27.63,6,""
27.72,6,""
27.81,6,""
27.9,6,""
27.99,6,""
28.08,6,""
28.17,7,""
28.26,7,""
28.35,7,""
28.44,7,""
28.53,8,""
28.62,9,""
28.71,8,""
28.8,7,""
28.89,7,""
28.98,8,""
29.07,6,""
29.16,7,""
29.25,10,""
29.34,7,""
29.43,6,""
29.52,7,""
29.61,8,""
29.7,8,""
29.79,7,""
29.88,8,""
29.97,7,""
30.06,8,""
30.15,9,""
30.24,10,""
30.33,6,""
30.42,8,""
30.51,10,""
30.6,10,""
30.69,13,""
30.78,8,""
30.87,9,""
30.96,7,""
31.05,6,""
31.14,6,""
31.23,7,""
31.32,7,""
31.41,8,""
31.5,8,""
31.59,7,""
31.68,8,""
31.77,9,""
31.86,8,""
31.95,8,""
32.04,7,""
32.13,7,""
32.22,6,""
32.31,7,""
32.4,6,""
32.49,8,""
32.58,10,""
32.67,10,""
32.76,13,""
32.85,14,""
32.94,12,""
33.03,11,""
33.12,7,""
