"Distance from Start (km)","Height Above Sea Level (m)","Comments"
0,0,"Lowest Point"
0.09,0,""
0.18,0,"Start of longest uphill"
0.27,5,""
0.36,5,""
0.45,6,""
0.54,9,""
0.63,11,""
0.72,11,""
0.81,9,""
0.9,5,""
0.99,6,""
1.08,7,""
1.17,9,""
1.26,11,"Steepest downhill"
1.35,5,""
1.44,3,""
1.53,1,""
1.62,1,""
1.71,4,""
1.8,5,""
1.89,4,""
1.98,6,""
2.07,7,""
2.16,5,""
2.25,5,""
2.34,5,""
2.43,8,""
2.52,10,""
2.61,11,""
2.7,10,""
2.79,7,""
2.88,8,""
2.97,13,"Highest Point"
3.06,10,""
3.15,8,""
3.24,7,""
3.33,6,""
3.42,7,""
3.51,7,""
3.6,6,""
3.69,7,""
3.78,8,""
3.87,9,""
3.96,9,""
4.05,8,""
4.14,9,""
4.23,10,""
4.32,9,""
4.41,8,""
4.5,10,""
4.59,7,""
4.68,8,""
4.77,7,""
4.86,8,""
4.95,9,""
5.04,9,""
5.13,9,""
5.22,9,""
5.31,9,""
5.4,8,""
5.49,9,""
5.58,10,""
5.67,8,""
5.76,8,""
5.85,7,""
5.94,7,""
6.03,7,""
6.12,9,""
6.21,9,""
6.3,6,""
6.39,4,""
6.48,2,""
6.57,4,""
6.66,5,""
6.75,7,""
6.84,6,""
6.93,7,""
7.02,8,""
7.11,7,""
7.2,5,""
7.29,6,""
7.38,5,""
7.47,1,""
7.56,1,""
7.65,3,""
7.74,2,""
7.83,7,""
7.92,8,""
8.01,6,""
8.1,6,""
8.19,5,""
8.28,4,""
8.37,2,""
8.46,1,""
8.55,3,""
8.64,6,""
8.73,8,""
8.82,9,""
8.91,7,""
9,7,""
9.09,6,""
9.18,8,""
9.27,8,""
9.36,10,""
9.45,9,""
9.54,8,""
9.63,9,""
9.72,9,""
9.81,9,""
9.9,9,""
9.99,8,""
10.08,8,""
10.17,7,""
10.26,7,""
10.35,8,""
10.44,9,""
10.53,8,""
10.62,9,""
10.71,8,""
10.8,8,""
10.89,9,"Start of longest downhill"
10.98,8,""
11.07,6,""
11.16,5,""
11.25,0,""
11.34,0,""
11.43,0,""
11.52,0,""
11.61,0,""
11.7,0,""
11.79,0,""
11.88,0,""
11.97,0,""
12.06,0,""
12.15,0,""
12.24,0,""
12.33,0,""
12.42,0,""
12.51,0,""
12.6,0,""
12.69,0,""
12.78,0,""
12.87,0,""
12.96,0,""
13.05,0,""
13.14,0,""
13.23,0,""
13.32,0,""
13.41,0,""
13.5,0,""
13.59,0,""
13.68,0,""
13.77,0,""
13.86,0,""
13.95,0,""
14.04,0,""
14.13,0,""
14.22,0,""
14.31,0,""
14.4,0,""
14.49,0,""
14.58,0,""
14.67,0,""
14.76,0,""
14.85,0,""
14.94,0,""
15.03,0,""
15.12,0,""
15.21,0,""
15.3,0,""
15.39,0,""
15.48,0,""
15.57,0,""
15.66,0,""
15.75,0,""
15.84,0,""
15.93,0,""
16.02,0,""
16.11,0,""
16.2,0,""
16.29,0,"Steepest uphill"
16.38,6,""
16.47,6,""
16.56,6,""
16.65,4,""
16.74,6,""
16.83,7,""
16.92,5,""
17.01,5,""
17.1,7,""
17.19,8,""
17.28,7,""
17.37,6,""
17.46,8,""
17.55,9,""
17.64,12,""
17.73,6,""
17.82,6,""
17.91,8,""
18,11,""
18.09,8,""
18.18,8,""
18.27,6,""
18.36,7,""
18.45,6,""
18.54,4,""
18.63,5,""
18.72,5,""
18.81,2,""
18.9,0,""
18.99,2,""
19.08,4,""
19.17,8,""
19.26,12,""
19.35,8,""
19.44,8,""
19.53,4,""
19.62,6,""
19.71,10,""
19.8,11,""
19.89,9,""
19.98,6,""
20.07,5,""
20.16,6,""
20.25,3,""
20.34,0,""
20.43,0,""
20.52,0,""
