"Distance from Start (km)","Height Above Sea Level (m)","Comments"
0,41,""
0.09,35,""
0.18,31,""
0.27,35,""
0.36,35,""
0.45,39,""
0.54,41,""
0.63,39,""
0.72,36,""
0.81,32,""
0.9,28,""
0.99,26,""
1.08,27,""
1.17,27,""
1.26,28,""
1.35,29,""
1.44,28,""
1.53,32,""
1.62,32,""
1.71,28,""
1.8,26,""
1.89,27,""
1.98,24,""
2.07,16,""
2.16,19,""
2.25,24,""
2.34,21,""
2.43,18,""
2.52,19,""
2.61,22,""
2.7,24,""
2.79,25,""
2.88,27,""
2.97,31,""
3.06,36,""
3.15,36,""
3.24,33,""
3.33,33,""
3.42,33,""
3.51,28,""
3.6,24,""
3.69,27,""
3.78,30,""
3.87,31,""
3.96,34,""
4.05,34,""
4.14,34,""
4.23,36,""
4.32,36,""
4.41,31,""
4.5,32,""
4.59,36,""
4.68,35,""
4.77,36,""
4.86,34,""
4.95,37,""
5.04,40,""
5.13,43,""
5.22,46,""
5.31,45,""
5.4,45,""
5.49,39,""
5.58,36,""
5.67,38,""
5.76,37,""
5.85,38,""
5.94,40,""
6.03,40,""
6.12,39,""
6.21,40,""
6.3,38,""
6.39,43,""
6.48,45,""
6.57,45,""
6.66,45,""
6.75,48,""
6.84,46,""
6.93,46,""
7.02,47,""
7.11,49,""
7.2,48,""
7.29,51,""
7.38,56,""
7.47,55,""
7.56,56,""
7.65,54,""
7.74,51,""
7.83,45,""
7.92,47,""
8.01,44,""
8.1,42,""
8.19,39,""
8.28,37,""
8.37,38,""
8.46,41,""
8.55,44,""
8.64,43,""
8.73,43,""
8.82,39,""
8.91,36,""
9,34,""
9.09,32,""
9.18,31,""
9.27,30,""
9.36,33,""
9.45,37,""
9.54,35,""
9.63,31,""
9.72,29,""
9.81,29,""
9.9,32,""
9.99,36,""
10.08,36,""
10.17,39,""
10.26,41,""
10.35,40,""
10.44,35,""
10.53,35,""
10.62,37,""
10.71,36,""
10.8,37,""
10.89,36,""
10.98,32,""
11.07,34,""
11.16,38,""
11.25,47,""
11.34,52,""
11.43,56,""
11.52,57,""
11.61,61,""
11.7,61,""
11.79,58,""
11.88,58,""
11.97,55,""
12.06,52,""
12.15,55,""
12.24,61,""
12.33,60,""
12.42,56,""
12.51,51,""
12.6,51,""
12.69,53,""
12.78,54,""
12.87,52,""
12.96,48,""
13.05,52,""
13.14,57,""
13.23,62,"Highest Point"
13.32,62,""
13.41,58,""
13.5,53,""
13.59,50,""
13.68,50,""
13.77,54,""
13.86,61,""
13.95,60,""
14.04,55,""
14.13,53,""
14.22,55,""
14.31,53,""
14.4,53,""
14.49,56,""
14.58,49,""
14.67,47,""
14.76,47,""
14.85,49,""
14.94,52,""
15.03,54,""
15.12,53,""
15.21,51,""
15.3,51,""
15.39,50,""
15.48,49,""
15.57,49,""
15.66,48,""
15.75,49,""
15.84,45,""
15.93,42,""
16.02,39,""
16.11,36,""
16.2,36,""
16.29,33,""
16.38,29,""
16.47,28,""
16.56,31,""
16.65,35,""
16.74,36,""
16.83,33,""
16.92,30,""
17.01,30,""
17.1,32,""
17.19,33,""
17.28,36,""
17.37,39,""
17.46,43,""
17.55,43,""
17.64,43,""
17.73,40,""
17.82,37,""
17.91,38,""
18,37,""
18.09,39,""
18.18,43,""
18.27,42,""
18.36,42,""
18.45,38,""
18.54,39,""
18.63,39,""
18.72,40,""
18.81,40,""
18.9,38,""
18.99,36,""
19.08,37,""
19.17,36,""
19.26,37,""
19.35,44,""
19.44,45,""
19.53,44,""
19.62,42,""
19.71,39,""
19.8,37,""
19.89,33,""
19.98,33,""
20.07,35,""
20.16,34,""
20.25,32,""
20.34,31,""
20.43,35,""
20.52,36,""
20.61,34,""
20.7,34,""
20.79,35,""
20.88,31,""
20.97,29,""
21.06,26,""
21.15,24,""
21.24,28,""
21.33,34,""
21.42,35,""
21.51,36,""
21.6,38,""
21.69,37,""
21.78,32,""
21.87,28,""
21.96,26,""
22.05,25,""
22.14,22,""
22.23,19,""
22.32,18,""
22.41,22,""
22.5,23,""
22.59,18,""
22.68,16,""
22.77,24,""
22.86,27,""
22.95,26,""
23.04,29,""
23.13,32,""
23.22,31,""
23.31,28,""
23.4,28,""
23.49,27,""
23.58,27,""
23.67,26,""
23.76,27,""
23.85,28,""
23.94,28,""
24.03,27,""
24.12,29,""
24.21,28,""
24.3,26,""
24.39,28,""
24.48,27,""
24.57,21,""
24.66,11,""
24.75,11,""
24.84,10,"Lowest Point"
24.93,15,""
25.02,25,""
25.11,31,"Steepest uphill"
25.2,46,"Steepest downhill"
25.29,34,""
25.38,31,""
25.47,24,""
25.56,15,""
25.65,11,""
25.74,11,""
25.83,10,""
25.92,11,""
26.01,13,""
26.1,16,""
26.19,19,""
26.28,22,""
26.37,24,""
26.46,37,""
26.55,37,""
26.64,32,""
26.73,20,""
26.82,14,""
26.91,15,""
27,16,""
27.09,23,""
27.18,29,""
27.27,24,""
27.36,18,""
27.45,20,""
27.54,25,""
27.63,34,""
27.72,33,""
27.81,32,""
27.9,28,""
27.99,24,""
28.08,25,""
28.17,27,""
28.26,23,""
28.35,25,""
28.44,25,""
28.53,32,""
28.62,39,""
28.71,51,""
28.8,43,""
28.89,41,""
28.98,33,""
29.07,32,""
29.16,34,""
29.25,33,""
29.34,32,""
29.43,32,""
29.52,31,""
29.61,30,""
29.7,31,""
29.79,28,""
29.88,26,""
29.97,29,"Start of longest downhill"
30.06,28,""
30.15,28,""
30.24,26,""
30.33,25,""
30.42,21,""
30.51,16,""
30.6,14,""
30.69,14,""
30.78,14,""
30.87,15,""
30.96,15,""
31.05,14,""
31.14,16,""
31.23,16,""
31.32,14,""
31.41,16,""
31.5,16,""
31.59,17,""
31.68,16,""
31.77,15,""
31.86,15,""
31.95,15,""
32.04,13,""
32.13,10,"Start of longest uphill"
32.22,12,""
32.31,13,""
32.4,14,""
32.49,14,""
32.58,16,""
32.67,18,""
32.76,22,""
32.85,24,""
32.94,25,""
33.03,26,""
33.12,26,""
33.21,24,""
33.3,27,""
33.39,25,""
33.48,25,""
33.57,26,""
33.66,25,""
33.75,23,""
33.84,24,""
33.93,25,""
34.02,23,""
34.11,21,""
34.2,20,""
34.29,24,""
34.38,32,""
34.47,33,""
34.56,34,""
34.65,31,""
34.74,30,""
34.83,27,""
34.92,27,""
35.01,30,""
35.1,30,""
35.19,30,""
35.28,31,""
35.37,29,""
35.46,29,""
35.55,28,""
35.64,26,""
35.73,23,""
35.82,24,""
35.91,24,""
36,22,""
36.09,22,""
36.18,25,""
36.27,28,""
36.36,27,""
36.45,34,""
36.54,40,""
36.63,44,""
36.72,40,""
36.81,36,""
36.9,36,""
36.99,34,""
37.08,32,""
37.17,33,""
37.26,37,""
37.35,39,""
37.44,43,""
37.53,46,""
37.62,44,""
37.71,41,""
37.8,37,""
37.89,36,""
37.98,36,""
38.07,38,""
38.16,38,""
38.25,39,""
38.34,43,""
38.43,43,""
38.52,39,""
38.61,34,""
38.7,29,""
38.79,28,""
38.88,25,""
38.97,22,""
39.06,23,""
39.15,25,""
39.24,25,""
39.33,25,""
39.42,29,""
39.51,33,""
39.6,36,""
39.69,38,""
39.78,41,""
39.87,47,""
39.96,49,""
40.05,47,""
40.14,44,""
40.23,42,""
40.32,37,""
40.41,36,""
40.5,34,""
40.59,32,""
40.68,24,""
40.77,20,""
40.86,21,""
40.95,21,""
41.04,20,""
41.13,23,""
41.22,25,""
41.31,26,""
41.4,27,""
41.49,30,""
41.58,33,""
41.67,32,""
41.76,36,""
41.85,35,""
41.94,38,""
42.03,37,""
42.12,35,""
42.21,37,""
42.3,31,""
42.39,32,""
42.48,38,""
