"Distance from Start (km)","Height Above Sea Level (m)","Comments"
0,38,""
0.09,37,""
0.18,33,""
0.27,30,""
0.36,28,""
0.45,31,""
0.54,24,""
0.63,23,""
0.72,25,""
0.81,22,""
0.9,23,""
0.99,27,""
1.08,29,""
1.17,30,""
1.26,37,""
1.35,40,""
1.44,43,""
1.53,45,""
1.62,44,""
1.71,39,""
1.8,37,""
1.89,34,""
1.98,31,""
2.07,25,""
2.16,23,""
2.25,24,""
2.34,24,""
2.43,22,""
2.52,22,""
2.61,25,""
2.7,28,""
2.79,28,""
2.88,34,""
2.97,40,""
3.06,44,""
3.15,39,""
3.24,36,""
3.33,36,""
3.42,34,""
3.51,32,""
3.6,33,""
3.69,37,""
3.78,40,""
3.87,44,""
3.96,46,""
4.05,43,""
4.14,39,""
4.23,36,""
4.32,35,""
4.41,38,""
4.5,38,""
4.59,37,""
4.68,40,""
4.77,45,""
4.86,42,""
4.95,37,""
5.04,31,""
5.13,29,""
5.22,27,""
5.31,24,""
5.4,22,"Start of longest uphill"
5.49,24,""
5.58,25,""
5.67,25,""
5.76,26,""
5.85,32,""
5.94,35,""
6.03,38,""
6.12,38,""
6.21,44,""
6.3,48,""
6.39,49,"Start of longest downhill"
6.48,46,""
6.57,44,""
6.66,40,""
6.75,37,""
6.84,35,""
6.93,34,""
7.02,29,""
7.11,21,""
7.2,20,""
7.29,24,""
7.38,25,""
7.47,25,""
7.56,24,""
7.65,25,""
7.74,27,""
7.83,25,""
7.92,27,""
8.01,29,""
8.1,26,""
8.19,27,""
8.28,28,""
8.37,26,""
8.46,25,""
8.55,23,""
8.64,18,""
8.73,16,""
8.82,15,""
8.91,16,""
9,14,""
9.09,13,""
9.18,11,""
9.27,11,""
9.36,13,""
9.45,15,""
9.54,16,""
9.63,15,""
9.72,17,""
9.81,17,""
9.9,18,""
9.99,16,""
10.08,13,""
10.17,16,""
10.26,16,""
10.35,15,""
10.44,14,""
10.53,15,""
10.62,14,""
10.71,14,""
10.8,14,""
10.89,17,""
10.98,23,""
11.07,26,""
11.16,27,""
11.25,30,""
11.34,28,""
11.43,30,""
11.52,31,""
11.61,33,""
11.7,32,""
11.79,30,""
11.88,27,""
11.97,29,""
12.06,33,""
12.15,32,""
12.24,31,""
12.33,33,""
12.42,32,""
12.51,32,""
12.6,34,""
12.69,37,""
12.78,32,""
12.87,26,""
12.96,26,""
13.05,31,""
13.14,33,""
13.23,32,""
13.32,28,""
13.41,24,""
13.5,25,""
13.59,27,""
13.68,22,""
13.77,25,""
13.86,27,""
13.95,33,""
14.04,40,"Steepest uphill"
14.13,52,"Highest Point"
14.22,43,""
14.31,41,""
14.4,33,""
14.49,32,""
14.58,34,""
14.67,32,""
14.76,31,""
14.85,32,""
14.94,31,""
15.03,30,""
15.12,31,""
15.21,28,""
15.3,26,""
15.39,29,""
15.48,27,""
15.57,28,""
15.66,26,""
15.75,24,""
15.84,20,""
15.93,16,""
16.02,14,""
16.11,14,""
16.2,14,""
16.29,15,""
16.38,15,""
16.47,15,""
16.56,16,""
16.65,16,""
16.74,15,""
16.83,16,""
16.92,16,""
17.01,17,""
17.1,16,""
17.19,15,""
17.28,15,""
17.37,14,""
17.46,12,""
17.55,10,"Lowest Point"
17.64,12,""
17.73,14,""
17.82,14,""
17.91,15,""
18,16,""
18.09,19,""
18.18,22,""
18.27,24,""
18.36,25,""
18.45,26,""
18.54,26,""
18.63,24,""
18.72,27,""
18.81,25,""
18.9,25,""
18.99,27,""
19.08,25,""
19.17,23,""
19.26,24,""
19.35,25,""
19.44,23,""
19.53,21,""
19.62,20,""
19.71,25,""
19.8,32,""
19.89,33,""
19.98,33,""
20.07,30,""
20.16,27,""
20.25,22,""
20.34,23,""
20.43,25,""
20.52,23,""
20.61,28,""
20.7,29,""
20.79,27,""
20.88,30,""
20.97,35,""
21.06,40,""
21.15,41,""
21.24,42,""
21.33,44,""
21.42,49,""
21.51,41,""
21.6,41,""
