"Distance from Start (km)","Height Above Sea Level (m)","Comments"
0,23,""
0.09,26,""
0.18,29,""
0.27,19,""
0.36,18,""
0.45,18,""
0.54,18,""
0.63,16,"Start of longest uphill"
0.72,17,""
0.81,19,""
0.9,20,""
0.99,23,""
1.08,28,""
1.17,31,""
1.26,31,""
1.35,32,""
1.44,34,""
1.53,37,""
1.62,38,""
1.71,36,""
1.8,34,""
1.89,29,""
1.98,23,""
2.07,24,""
2.16,27,""
2.25,27,""
2.34,24,""
2.43,20,""
2.52,18,""
2.61,19,""
2.7,19,""
2.79,20,""
2.88,21,""
2.97,23,""
3.06,24,""
3.15,25,""
3.24,23,""
3.33,23,""
3.42,22,""
3.51,22,""
3.6,23,""
3.69,22,""
3.78,22,""
3.87,25,""
3.96,24,""
4.05,23,""
4.14,23,""
4.23,22,""
4.32,23,""
4.41,22,""
4.5,22,""
4.59,25,""
4.68,23,""
4.77,23,""
4.86,26,""
4.95,32,""
5.04,40,""
5.13,46,""
5.22,48,"Steepest uphill"
5.31,61,""
5.4,68,"Highest Point"
5.49,59,"Steepest downhill"
5.58,44,""
5.67,36,""
5.76,32,""
5.85,33,""
5.94,34,""
6.03,33,""
6.12,30,""
6.21,30,""
6.3,31,""
6.39,30,""
6.48,29,""
6.57,30,""
6.66,31,""
6.75,29,""
6.84,29,""
6.93,34,""
7.02,35,""
7.11,37,""
7.2,39,""
7.29,42,""
7.38,42,""
7.47,44,""
7.56,46,""
7.65,46,""
7.74,48,""
7.83,48,""
7.92,45,""
8.01,42,""
8.1,37,""
8.19,36,""
8.28,39,""
8.37,43,""
8.46,45,""
8.55,46,""
8.64,43,""
8.73,45,""
8.82,43,""
8.91,42,""
9,38,""
9.09,39,""
9.18,39,""
9.27,40,""
9.36,39,""
9.45,38,""
9.54,36,""
9.63,36,""
9.72,36,""
9.81,38,""
9.9,43,""
9.99,47,""
10.08,48,""
10.17,48,""
10.26,44,""
10.35,40,""
10.44,38,""
10.53,33,""
10.62,35,""
10.71,35,""
10.8,35,""
10.89,33,""
10.98,31,""
11.07,35,""
11.16,36,""
11.25,34,""
11.34,34,""
11.43,35,""
11.52,31,""
11.61,31,""
11.7,27,""
11.79,24,""
11.88,28,""
11.97,33,""
12.06,34,""
12.15,33,""
12.24,35,""
12.33,36,""
12.42,32,""
12.51,27,""
12.6,25,""
12.69,24,""
12.78,22,""
12.87,19,""
12.96,17,""
13.05,21,""
13.14,24,""
13.23,19,""
13.32,16,""
13.41,23,""
13.5,27,""
13.59,26,""
13.68,27,""
13.77,31,""
13.86,33,""
13.95,29,""
14.04,33,""
14.13,40,""
14.22,45,""
14.31,37,""
14.4,29,""
14.49,27,""
14.58,27,""
14.67,27,""
14.76,28,""
14.85,30,""
14.94,34,""
15.03,36,""
15.12,38,""
15.21,42,""
15.3,39,""
15.39,37,""
15.48,35,""
15.57,30,""
15.66,35,""
15.75,41,""
15.84,41,""
15.93,41,""
16.02,42,""
16.11,38,""
16.2,36,""
16.29,32,""
16.38,30,""
16.47,29,""
16.56,29,""
16.65,30,""
16.74,30,""
16.83,31,""
16.92,31,""
17.01,32,""
17.1,32,""
17.19,33,""
17.28,32,""
17.37,33,""
17.46,34,""
17.55,35,""
17.64,33,""
17.73,35,""
17.82,35,""
17.91,32,""
18,32,""
18.09,32,""
18.18,32,""
18.27,35,""
18.36,39,""
18.45,38,""
18.54,43,""
18.63,49,""
18.72,50,""
18.81,58,""
18.9,57,""
18.99,61,""
19.08,56,""
19.17,56,""
19.26,54,""
19.35,50,""
19.44,45,""
19.53,39,""
19.62,30,""
19.71,29,""
19.8,33,""
19.89,39,""
19.98,42,""
20.07,47,""
20.16,44,""
20.25,44,""
20.34,43,""
20.43,41,""
20.52,37,""
20.61,36,""
20.7,36,""
20.79,38,""
20.88,38,""
20.97,38,""
21.06,42,""
21.15,44,""
21.24,40,""
21.33,35,""
21.42,28,""
21.51,27,""
21.6,25,""
21.69,22,""
21.78,23,""
21.87,25,""
21.96,25,""
22.05,25,""
22.14,28,""
22.23,33,""
22.32,36,""
22.41,39,""
22.5,39,""
22.59,46,""
22.68,49,""
22.77,48,""
22.86,44,""
22.95,43,""
23.04,38,""
23.13,36,""
23.22,35,""
23.31,33,""
23.4,27,""
23.49,20,""
23.58,21,""
23.67,24,""
23.76,25,""
23.85,25,""
23.94,24,""
24.03,26,""
24.12,27,""
24.21,25,""
24.3,27,""
24.39,29,""
24.48,26,""
24.57,28,""
24.66,28,""
24.75,25,""
24.84,25,""
24.93,22,""
25.02,17,""
25.11,15,""
25.2,15,""
25.29,16,""
25.38,14,""
25.47,13,""
25.56,11,"Lowest Point"
25.65,11,""
25.74,14,""
25.83,15,""
25.92,16,""
26.01,14,""
26.1,17,""
26.19,16,""
26.28,18,""
26.37,15,""
26.46,14,""
26.55,16,""
26.64,15,""
26.73,15,""
26.82,15,""
26.91,15,""
27,14,""
27.09,14,""
27.18,14,""
27.27,17,""
27.36,25,""
27.45,26,""
27.54,28,""
27.63,30,""
27.72,29,""
27.81,29,""
27.9,28,""
27.99,29,""
28.08,28,""
28.17,26,""
28.26,26,""
28.35,30,""
28.44,37,""
28.53,44,""
28.62,45,""
28.71,38,""
28.8,32,""
28.89,27,""
28.98,26,""
29.07,29,""
29.16,31,""
29.25,29,""
29.34,26,""
29.43,26,""
29.52,32,""
29.61,38,""
29.7,46,""
29.79,37,""
29.88,28,""
29.97,29,""
30.06,34,""
30.15,39,""
30.24,40,""
30.33,38,""
30.42,32,""
30.51,25,""
30.6,20,""
30.69,27,""
30.78,32,""
30.87,29,""
30.96,28,""
31.05,25,""
31.14,31,""
31.23,33,""
31.32,33,""
31.41,30,""
31.5,32,""
31.59,31,""
31.68,34,""
31.77,37,""
31.86,40,""
31.95,40,""
32.04,37,""
32.13,33,""
32.22,30,""
32.31,28,""
32.4,29,""
32.49,25,""
32.58,28,""
32.67,32,""
32.76,33,""
32.85,32,""
32.94,33,""
