"Distance from Start (km)","Height Above Sea Level (m)","Comments"
0,23,""
0.09,25,""
0.18,29,""
0.27,22,""
0.36,19,""
0.45,18,""
0.54,18,""
0.63,17,""
0.72,17,""
0.81,19,""
0.9,20,""
0.99,23,""
1.08,23,""
1.17,21,""
1.26,19,""
1.35,21,""
1.44,21,""
1.53,20,""
1.62,21,""
1.71,22,""
1.8,21,""
1.89,19,"Start of longest uphill"
1.98,20,""
2.07,21,""
2.16,22,""
2.25,24,""
2.34,27,""
2.43,30,""
2.52,33,""
2.61,33,""
2.7,35,""
2.79,33,""
2.88,38,""
2.97,45,""
3.06,42,""
3.15,39,""
3.24,36,""
3.33,34,""
3.42,33,""
3.51,29,""
3.6,31,""
3.69,29,""
3.78,27,""
3.87,24,""
3.96,22,""
4.05,23,""
4.14,24,""
4.23,27,""
4.32,34,""
4.41,38,""
4.5,39,""
4.59,38,""
4.68,37,""
4.77,29,""
4.86,21,""
4.95,24,"Steepest uphill"
5.04,34,""
5.13,35,""
5.22,38,""
5.31,41,""
5.4,41,""
5.49,40,""
5.58,37,""
5.67,33,""
5.76,31,""
5.85,31,""
5.94,27,""
6.03,27,""
6.12,29,""
6.21,25,""
6.3,25,""
6.39,26,""
6.48,29,""
6.57,25,""
6.66,19,""
6.75,21,""
6.84,27,""
6.93,34,""
7.02,38,""
7.11,36,""
7.2,32,""
7.29,26,""
7.38,24,""
7.47,24,""
7.56,29,""
7.65,35,""
7.74,41,""
7.83,48,"Highest Point"
7.92,45,""
8.01,37,""
8.1,32,""
8.19,28,""
8.28,27,""
8.37,28,""
8.46,32,""
8.55,32,""
8.64,31,""
8.73,33,""
8.82,32,""
8.91,32,""
9,34,""
9.09,35,""
9.18,32,""
9.27,29,"Steepest downhill"
9.36,16,""
9.45,16,""
9.54,26,""
9.63,36,""
9.72,39,""
9.81,35,""
9.9,30,""
9.99,23,""
10.08,30,""
10.17,31,""
10.26,28,""
10.35,33,""
10.44,35,""
10.53,31,""
10.62,25,""
10.71,21,""
10.8,25,""
10.89,32,""
10.98,32,""
11.07,33,""
11.16,33,""
11.25,30,""
11.34,31,""
11.43,33,""
11.52,30,""
11.61,27,""
11.7,29,""
11.79,31,""
11.88,31,""
11.97,28,""
12.06,27,""
12.15,26,""
12.24,27,""
12.33,32,""
12.42,40,""
12.51,47,""
12.6,42,""
12.69,35,""
12.78,29,""
12.87,25,""
12.96,28,""
13.05,31,""
13.14,30,""
13.23,28,""
13.32,24,""
13.41,29,""
13.5,33,""
13.59,43,""
13.68,41,""
13.77,30,""
13.86,27,""
13.95,31,""
14.04,37,""
14.13,40,""
14.22,40,""
14.31,36,""
14.4,29,""
14.49,21,""
14.58,24,""
14.67,30,""
14.76,31,""
14.85,29,""
14.94,26,""
15.03,28,""
15.12,33,""
15.21,34,""
15.3,32,""
15.39,32,""
15.48,32,""
15.57,32,""
15.66,35,""
15.75,39,""
15.84,40,""
15.93,39,""
16.02,35,""
16.11,31,""
16.2,27,""
16.29,28,""
16.38,26,""
16.47,27,""
16.56,30,""
16.65,33,""
16.74,30,""
16.83,34,""
16.92,40,""
17.01,41,""
17.1,37,""
17.19,28,""
17.28,25,""
17.37,28,""
17.46,28,""
17.55,27,""
17.64,29,""
17.73,33,""
17.82,32,""
17.91,36,""
18,35,""
18.09,36,""
18.18,35,""
18.27,37,""
18.36,39,""
18.45,37,""
18.54,35,""
18.63,38,""
18.72,41,""
18.81,43,""
18.9,42,""
18.99,40,""
19.08,42,""
19.17,39,""
19.26,34,""
19.35,36,""
19.44,40,""
19.53,41,"Start of longest downhill"
19.62,40,""
19.71,37,""
19.8,33,""
19.89,28,""
19.98,23,""
20.07,21,""
20.16,20,""
20.25,18,""
20.34,17,""
20.43,16,""
20.52,15,"Lowest Point"
20.61,15,""
20.7,15,""
20.79,15,""
20.88,16,""
20.97,19,""
21.06,29,""
21.15,27,""
21.24,23,""
